Vilnius
D,Ama,487,Jorkšyro terjeras,Inga,861299001,2012-08-23,FALSE
D,Juke,542,Jorkšyro terjeras,Agnetė,862133452,2013-10-20,FALSE
D,Flintas,403,Vokiečių aviganis,Tadas,879532146,2008-05-25,TRUE
C,Liza,292,Sibiro,Alina,867966452,2009-09-13
C,Agatas,372,Britų trumpaplaukės,Juozas,867922564,2011-07-12
C,Vanilė,201,Sibiro,Aloyzas,879521325,2009-06-24
D,Kira,438,Airių terjeras,Vilija,861297520,2011-08-30,FALSE
D,Maksis,448,Vokiečių bokseris,Tautvydas,879833551,2010-10-18,TRUE
D,Tobis,687,šarpėjus,Mantas,861497852,2014-06-05,TRUE
C,Micis,721,Egzotas,Viktoras,864255031,2012-03-14
