Kaunas
D,Reksas,823,Buldogas,Jonas,867424992,7/24/2015,TRUE
C,Morkus,658,Siamo,Antanas,865412654,11/24/2014,
D,Keksas,456,Taksas,Petras,866612345,12/1/2014,FALSE
C,Puk?,656,Siamo,Petras,866612345,12/5/2014,
C,Taira,382,Rus? m?lynoji,Dangira,861253226,5/11/2012,
C,Tigris,848,Bengalijos,Juozas,867892544,7/21/2013,
C,Miaukis,572,Brit? trumpapaluk?s,Ona,861588345,11/4/2010,
D,Miledi,541,Jorkšyro terjeras,Aurelija,867897315,11/14/2010,FALSE
D,Farlis,921,Sibiro haskis,Artûras,8687990321,1/2/2015,FALSE
D,Agatas,922,Sibiro haskis,Artûras,8687990321,1/2/2015,FALSE
D,Meškis,534,Laika,Gintas,869811065,4/12/2012,TRUE
D,Bumsis,724,Biglis,Donata,861489752,3/25/2011,FALSE
G,Reksis,Baltasis,Jonas,861475318,3/5/2014
